column,key,value
symbol,KSMUSDT,0
symbol,XVSUSDT,1
symbol,STORJUSDT,2
symbol,NEOUSDT,3
symbol,ENJUSDT,4
symbol,MTLUSDT,5
symbol,BNTUSDT,6
symbol,BLZUSDT,7
symbol,HBARUSDT,8
symbol,TRXUSDT,9
symbol,BTCUSDT,10
symbol,DOGEUSDT,11
symbol,ETHUSDT,12
symbol,XMRUSDT,13
symbol,BCHUSDT,14
symbol,BELUSDT,15
symbol,SXPUSDT,16
symbol,CTSIUSDT,17
symbol,WAVESUSDT,18
symbol,IOTXUSDT,19
symbol,EGLDUSDT,20
symbol,XRPUSDT,21
symbol,DGBUSDT,22
symbol,UMAUSDT,23
symbol,NMRUSDT,24
symbol,SOLUSDT,25
symbol,HOTUSDT,26
symbol,LTCUSDT,27
symbol,RENUSDT,28
symbol,MANAUSDT,29
symbol,DASHUSDT,30
symbol,STMXUSDT,31
symbol,ADAUSDT,32
symbol,CHRUSDT,33
symbol,IOSTUSDT,34
symbol,OGNUSDT,35
symbol,ETCUSDT,36
symbol,OCEANUSDT,37
symbol,ZECUSDT,38
symbol,LINKUSDT,39
symbol,YFIUSDT,40
symbol,FTMUSDT,41
symbol,EOSUSDT,42
symbol,ALGOUSDT,43
symbol,FETUSDT,44
symbol,KEYUSDT,45
symbol,STPTUSDT,46
symbol,MDTUSDT,47
symbol,KAVAUSDT,48
symbol,MATICUSDT,49
symbol,ZENUSDT,50
symbol,SNXUSDT,51
symbol,THETAUSDT,52
symbol,BATUSDT,53
symbol,OXTUSDT,54
symbol,ICXUSDT,55
symbol,VETUSDT,56
symbol,UNIUSDT,57
symbol,DUSKUSDT,58
symbol,KNCUSDT,59
symbol,XTZUSDT,60
symbol,MKRUSDT,61
symbol,COTIUSDT,62
symbol,BANDUSDT,63
symbol,ONTUSDT,64
symbol,RLCUSDT,65
symbol,XLMUSDT,66
symbol,MBLUSDT,67
symbol,ZRXUSDT,68
symbol,ONEUSDT,69
symbol,DOTUSDT,70
symbol,RUNEUSDT,71
symbol,ANKRUSDT,72
symbol,LRCUSDT,73
symbol,SUSHIUSDT,74
symbol,ARPAUSDT,75
symbol,SANDUSDT,76
symbol,ZILUSDT,77
symbol,RVNUSDT,78
symbol,STXUSDT,79
symbol,CRVUSDT,80
symbol,QTUMUSDT,81
symbol,CELRUSDT,82
symbol,NKNUSDT,83
symbol,COMPUSDT,84
symbol,RSRUSDT,85
symbol,TRBUSDT,86
symbol,BNBUSDT,87
symbol,OMGUSDT,88
symbol,ANTUSDT,89
symbol,FLMUSDT,90
symbol,AVAXUSDT,91
symbol,DENTUSDT,92
symbol,CHZUSDT,93
symbol,ONGUSDT,94
symbol,BALUSDT,95
symbol,ATOMUSDT,96
symbol,IOTAUSDT,97
side,BUY,0
side,SELL,1
strategy,Kerberos_15m,0
strategy,Abnormality,1
strategy,syfer,2
strategy,Kerberos_1m,3
strategy,Kerberos_30m,4
strategy,Impulse MACD // 8,5
timeframe,15m,0
timeframe,30m,1
timeframe,1m,2
timeframe,1h,3
entry_day_of_week,Monday,0
entry_day_of_week,Wednesday,1
entry_day_of_week,Friday,2
entry_day_of_week,Sunday,3
entry_day_of_week,Tuesday,4
entry_day_of_week,Saturday,5
entry_day_of_week,Thursday,6
trade_result,WIN,1
trade_result,LOSS,0






